CODE,NAME,SEGMENTS
F01220B,Nishiyama fault zone (Oshima-Oki segment/Nishiyama segment),F012201;F012202
F01220C,Nishiyama fault zone (Nishiyama segment/Kama-toge segment),F012202;F012203
F01220A,Nishiyama fault zone (All segment),F012201;F012202;F012203
F01240A,Kego fault zone (All segment),F012401;F012402
F01280A,Beppu-wan-Hijiu fault zone (All segment),F012801;F012802
F01280B,Oita-heiya-Yufuin fault zone (All segment),F012803;F012804
F01290A,Unzen fault group (Southwestern part Northern/Southern segment),F012903;F012904
F01300C,Futagawa fault zone (Futagawa segment/Uto segment),F013001;F013002
F01300D,Futagawa fault zone (Uto segment/Uto-hanto-hokugan segment),F013002;F013003
F01300E,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment),F013001;F013101
F01310B,Hinagu fault zone (Takano-Shirahata segment/Hinagu segment),F013101;F013102
F01310C,Hinagu fault zone (Hinagu segment/Yatsushirokai segment),F013102;F013103
F01300A,Futagawa fault zone (All segment),F013001;F013002;F013003
F01300F,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment/Hinagu segment),F013001;F013101;F013102
F01310A,Hinagu fault zone (All segment),F013101;F013102;F013103
F01300B,Futagawa/Hinagu fault zone (Futagawa segment/all segment of Hinagu fault zone),F013001;F013101;F013102;F013103
F01462A,Nagano-bonchi-seien fault zone (All segment),F014621;F014622
F01482A,Fukaya/Ayasegawa fault zone (Fukaya fault zone/Kounosu-Ina segment),F014721;F014821
F01482B,Fukaya/Ayasegawa fault zone (Kounosu-Ina segment/Ina-Kawaguchi segment),F014821;F014822
F01482C,Fukaya/Ayasegawa fault zone (All segment),F014721;F014821;F014822
F01622A,Itoigawa-Shizuoka-kozosen fault zone (Northern segment/Central northern segment),F016221;F016222
F01622B,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment/Central southern segment),F016222;F016223
F01622C,Itoigawa-Shizuoka-kozosen fault zone (Central southern segment/Southern segment),F016223;F016224
F01622D,Itoigawa-Shizuoka-kozosen fault zone (Northern segment/Central northern segment/Central southern segment),F016221;F016222;F016223
F01622E,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment/Central southern segment/Southern segment),F016222;F016223;F016224
F01622F,Itoigawa-Shizuoka-kozosen fault zone (All segment),F016221;F016222;F016223;F016224
F01770A,Yamasaki fault zone (Main part Northwestern/Southeastern segment),F017701;F017702
F01820A,Kikugawa fault zone (Northern segment/Central segment),F018101;F018201
F01830A,Kikugawa fault zone (Central segment/Southern segment),F018201;F018301
F01830B,Kikugawa fault zone (All segment),F018101;F018201;F018301
F01850A,Iwakuni-Itsukaichi fault zone (Koi fault segment/Itsukaichi fault segment),F018401;F018501
F01860A,Iwakuni-Itsukaichi fault zone (Itsukaichi fault segment/Iwakuni fault segment),F018501;F018601
ATNI1,Tokachi-Oki Earthquake + Nemuro-Oki Earthquake,ATKCH;ANMRO
