#,,,,
# VER. = 1.0,,,,
# DATE = 2017-04-06,,,,
#,,,,
# EQCODE, EQTYPE, SPTYPE, MTTYPE, CRTYPE
LND_A98F,1,3,2,0
PLE_ANNKI,2,1,1,0
PLE_ATHOP,2,1,1,1
PLE_ASNKT,2,3,1,1
PSE_BTNMI,2,4,1,1
PSE_BNRML,3,4,1,1
PLE_ATNI1,2,1,1,1
PLE_ASKTN,2,1,1,1
PLE_AETRF,2,1,1,1
PSE_COUT,3,4,1,1
LND_BHKNW,2,4,1,0
LND_AHKDW,2,3,1,0
LND_AHKSW,2,3,1,0
LND_AAOMW,2,3,1,0
LND_BAKIT,2,4,1,0
LND_AYMGA,2,3,1,0
LND_ANIGT,2,3,1,0
LND_BSDGN,2,4,1,0
PSE_BHGNL,2,4,1,0
PSE_BHGNS,2,4,1,0
PSE_BYNGN,2,4,1,0
PLE_ASGMI,2,1,1,0
PSE_CPCF,2,2,1,1
PSE_CPCF,3,2,1,1
PSE_CPHL,2,2,1,0
PSE_CPHL,3,2,1,2
LND_CGR5,1,1,2,0
PSE_CURA,1,2,1,1
LND_CJPS,1,1,1,0
LND_CIZU,1,1,2,0
LND_CYNG,2,2,1,0
LND_AGR1,1,3,2,0
