bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,bldg_count_quality
C1,1,,12714093.6783,6343858.26344,3005765.94728,2460842.24736,,
C2,1,,10144752.2,5787439.10356,578352.322921,1263904.24234,,
C2L,0,2.53978621178e+12,30948124.8956,6105036.71339,28535355.8418,15017037.3519,12379249.9582,1120258.0
C2L,1,,11429422.9391,6065648.6835,1792059.1351,1862373.24485,,
C4,1,,6357046.83913,3171929.13172,1502882.97364,1230421.12368,,
RM2,1,,3814228.10348,1903157.47903,901729.784185,738252.674209,,
S1,1,,22858845.8783,12131297.367,3584118.2702,3724746.4897,,
S2,1,,12714093.6783,6343858.26344,3005765.94728,2460842.24736,,
S4,1,,22858845.8783,12131297.367,3584118.2702,3724746.4897,,
W1,0,4.34225925411e+12,52911847.8957,10852188.2624,38110929.6494,24548411.4172,21164739.1583,1120258.0
W1,1,,11765925.3148,3984233.12106,7513581.80226,4096375.712,,
W2,0,3.55189194656e+12,43280963.9914,8976713.63116,28602896.6351,19808949.6498,17312385.5965,1120258.0
W2,1,,12483682.2731,5575863.85464,4589285.01975,3045918.00241,,
