Code,Deaths,Fatalities_High,Fatalities_Low,Fatalities_Moderate,Fatalities_Precode,Pop_IX,Pop_V,Pop_VI,Pop_VII,Pop_VIII,Pop_X,Year,exposed_pop,Pred1,Pred2
Akinada,2,170.6978318,3010.092116,971.3127509,4437.649748,729442.3489,48096930.05,29685864.8,18300512.37,13418138.76,0.05,2001,8941725.409,18.66462867,7.206318946
Chuetsu,68,110.9498796,1046.646936,440.4153316,1431.284017,2166305.332,62536609.61,7693961.835,8127671.531,3822986.826,0.05,2004,11223993.31,20.18506381,7.919958353
Chuetsu,15,3.257529933,196.2811871,35.6013474,365.8324158,0.05,9010410.313,8768166.832,4573278.645,129070.9087,0.05,2007,5910524.801,0.576349473,3.669612725
Fukuoka,1,25.75240602,1030.87063,232.0561891,1744.9392,0.05,24315383.36,18740084.37,10057266.54,3077588.913,0.05,2005,7812714.816,5.54333642,1.475381581
Hamadori,4,14.78792541,499.6473166,120.0676962,846.8428014,45610.41307,190123570.1,30036041.19,12128081.5,2743328.992,0.05,2011,29123969.06,6.9104357,8.252793549
Hokkaido,1,13.58505785,434.9088635,108.7776954,718.5167506,8810.28584,20061724.05,9484228.186,2230949.465,974529.5334,0.05,2003,8446294.739,7.006881016,3.045145542
Iwate,23,150.2298773,1303.003582,573.7154594,1764.487781,1586768,14443000.38,12138964.23,4557381.343,2124383.662,0.05,2008,5443401.907,46.26112134,6.479837747
Kobe,5062,6588.729851,38023.57439,20107.45944,46934.10134,129502065.3,232273574.2,102974292.5,113308971.9,119628422.1,12196924.13,1995,39387798.29,470.3353614,698.1840302
Kouzu,1,0.050220133,0.981048372,0.321078339,1.47213036,3.309370861,326119.2615,2541.246503,2511.124031,2901.371947,0.05,2000,1450970.453,0.285930904,0.107693374
Kumamoto,41,496.385339,3671.614906,1714.684131,4853.19294,6525645.721,65662731.36,51358734.91,16885731.69,7868956.512,156711.3375,2016,15270884.07,78.53625621,186.5058519
Kushiro,2,834.7323504,2072.299511,1389.057893,2480.789289,141378.6631,4536295.154,2597313.074,676741.5037,786302.6628,428103.2232,1993,4700671.846,6.57852966,36.83651918
MiddleNagano,1,20.81010172,245.0890954,95.71232602,338.0712095,128086.3423,1551357.771,799942.766,601292.8697,493714.3155,0.05,2011,920184.1781,4.80737406,2.056780143
Miyagi,4,183.3570929,2593.243248,929.532817,3707.297347,909577.4014,21343395.25,17750343.88,9511709.016,7840991.301,6806.902028,2011,7280507.351,34.74388777,53.33301955
Nagano,3,34.56567368,476.218341,166.6467059,702.3097781,438242.5253,52387421.48,12291672.1,4575916.569,2381559.663,0.05,2011,10909066.98,5.916810335,5.335428158
Noto,1,0.301022341,22.52835477,3.600248237,46.28222799,0.05,6218924.973,2582940.023,423124.9257,24655.57548,0.05,2007,2959120.05,0.215358653,1.285011322
Kanto,11086,6093.454613,30786.73881,17285.03418,36705.15518,205028731.6,111034205.4,68457105.73,51798525.75,95952831.13,30747006.53,1923,20262927.35,259.9280187,530.13412
